1,的,ㄉㄜ˙
2,的,ㄉㄧˋ
3,的,ㄉㄧˊ
4,是,ㄕˋ
5,不,ㄅㄨˋ
7,不,ㄅㄨˊ
12,我,ㄨㄛˇ
13,一,ㄧ
14,一,ㄧˋ
15,一,ㄧˊ
16,有,ㄧㄡˇ
17,大,ㄉㄚˋ
18,在,ㄗㄞˋ
19,人,ㄖㄣˊ
20,了,ㄌㄜ˙
21,了,ㄌㄧㄠˇ
22,中,ㄓㄨㄥ
23,中,ㄓㄨㄥˋ
24,到,ㄉㄠˋ
25,資,ㄗ
26,要,ㄧㄠ
27,要,ㄧㄠˋ
28,可,ㄎㄜˇ
29,以,ㄧˇ
30,這,ㄓㄜˋ
33,個,ㄍㄜˋ
34,個,ㄍㄜ˙
35,你,ㄋㄧˇ
36,會,ㄏㄨㄟˇ
38,會,ㄏㄨㄟˋ
39,會,ㄎㄨㄞˋ
44,好,ㄏㄠˇ
45,好,ㄏㄠˋ
55,為,ㄨㄟˋ
56,為,ㄨㄟˊ
63,上,ㄕㄤˋ
65,來,ㄌㄞˊ
66,就,ㄐㄧㄡˋ
67,學,ㄒㄩㄝˊ
69,交,ㄐㄧㄠ
70,也,ㄧㄝˇ
71,用,ㄩㄥˋ
72,能,ㄋㄥˊ
73,如,ㄖㄨˊ
74,文,ㄨㄣˊ
4881,時,ㄕˊ
80,沒,ㄇㄛˋ
13051,沒,ㄇㄟˊ
25079,說,ㄕㄨㄛ
81,說,ㄕㄨㄟˋ
84,他,ㄊㄚ
85,看,ㄎㄢ
86,看,ㄎㄢˋ
93,提,ㄊㄧˊ
94,那,ㄋㄚˇ
95,那,ㄋㄚˋ
97,那,ㄋㄨㄛˊ
99,問,ㄨㄣˋ
100,生,ㄕㄥ
101,過,ㄍㄨㄛˋ
107,下,ㄒㄧㄚˋ
109,請,ㄑㄧㄥˇ
110,天,ㄊㄧㄢ
111,們,ㄇㄣˊ
112,們,ㄇㄣ˙
118,所,ㄙㄨㄛˇ
119,多,ㄉㄨㄛ
123,多,ㄉㄨㄛˊ
126,麼,ㄇㄛˊ
127,麼,ㄇㄜ˙
128,小,ㄒㄧㄠˇ
135,想,ㄒㄧㄤˇ
136,得,ㄉㄜˊ
137,得,ㄉㄜ˙
138,之,ㄓ
139,還,ㄏㄞˊ
140,還,ㄏㄨㄢˊ
154,電,ㄉㄧㄢˋ
165,出,ㄔㄨ
178,工,ㄍㄨㄥ
179,對,ㄉㄨㄟˋ
180,都,ㄉㄡ
181,都,ㄉㄨ
182,機,ㄐㄧ
183,自,ㄗˋ
189,後,ㄏㄡˋ
190,子,ㄗˇ
191,子,ㄗ˙
192,而,ㄦˊ
194,訊,ㄒㄩㄣˋ
195,站,ㄓㄢˋ
198,去,ㄑㄩˋ
199,心,ㄒㄧㄣ
203,只,ㄓ
204,只,ㄓˇ
21230,家,ㄐㄧㄚ
205,知,ㄓ
206,國,ㄍㄨㄛˊ
207,台,ㄊㄞˊ
213,很,ㄏㄣˇ
214,信,ㄒㄧㄣˋ
215,成,ㄔㄥˊ
216,章,ㄓㄤ
217,何,ㄏㄜˊ
225,同,ㄊㄨㄥˊ
226,道,ㄉㄠˋ
229,地,ㄉㄜ˙
230,地,ㄉㄧˋ
237,發,ㄈㄚ
238,法,ㄈㄚˇ
239,法,ㄈㄚˋ
240,無,ㄨˊ
241,然,ㄖㄢˊ
242,但,ㄉㄢˋ
243,嗎,ㄇㄚ˙
244,當,ㄉㄤ
245,當,ㄉㄤˋ
252,於,ㄩˊ
253,於,ㄨ
254,本,ㄅㄣˇ
256,現,ㄒㄧㄢˋ
257,年,ㄋㄧㄢˊ
258,前,ㄑㄧㄢˊ
261,真,ㄓㄣ
262,最,ㄗㄨㄟˋ
263,和,ㄏㄢˋ
264,和,ㄏㄨㄛˋ
265,和,ㄏㄜˊ
266,新,ㄒㄧㄣ
278,因,ㄧㄣ
281,果,ㄍㄨㄛˇ
284,定,ㄉㄧㄥˋ
285,意,ㄧˋ
286,情,ㄑㄧㄥˊ
294,點,ㄉㄧㄢˇ
295,題,ㄊㄧˊ
296,其,ㄑㄧˊ
297,其,ㄐㄧ
298,事,ㄕˋ
299,方,ㄈㄤ
300,清,ㄑㄧㄥ
305,科,ㄎㄜ
306,樣,ㄧㄤˋ
307,些,ㄒㄧㄝ
308,吧,ㄅㄚ
309,吧,ㄅㄚ˙
310,三,ㄙㄢ
311,此,ㄘˇ
312,位,ㄨㄟˋ
315,理,ㄌㄧˇ
330,行,ㄏㄤˊ
331,行,ㄒㄧㄥˋ
332,行,ㄒㄧㄥˊ
333,作,ㄗㄨㄛˋ
334,經,ㄐㄧㄥ
335,者,ㄓㄜˇ
336,什,ㄕˊ
337,什,ㄕㄜˊ
338,什,ㄕㄣˊ
339,謝,ㄒㄧㄝˋ
342,名,ㄇㄧㄥˊ
343,日,ㄖˋ
391,正,ㄓㄥ
20514,正,ㄓㄥˋ
344,華,ㄏㄨㄚˊ
24991,話,ㄏㄨㄚˋ
345,開,ㄎㄞ
347,實,ㄕˊ
348,再,ㄗㄞˋ
351,城,ㄔㄥˊ
352,愛,ㄞˋ
353,與,ㄩˇ
359,二,ㄦˋ
360,動,ㄉㄨㄥˋ
361,比,ㄅㄧˇ
375,高,ㄍㄠ
376,面,ㄇㄧㄢˋ
377,又,ㄧㄡˋ
378,車,ㄐㄩ
379,車,ㄔㄜ
380,力,ㄌㄧˋ
381,或,ㄏㄨㄛˋ
382,種,ㄓㄨㄥˇ
383,種,ㄓㄨㄥˋ
384,像,ㄒㄧㄤˋ
385,應,ㄧㄥ
386,應,ㄧㄥˋ
387,女,ㄋㄩˇ
392,教,ㄐㄧㄠ
397,教,ㄐㄧㄠˋ
398,分,ㄈㄣ
400,分,ㄈㄣˋ
401,手,ㄕㄡˇ
402,打,ㄉㄚˇ
403,已,ㄧˇ
405,次,ㄘˋ
406,次,ㄗ
409,長,ㄓㄤˇ
410,長,ㄔㄤˊ
411,太,ㄊㄞˋ
412,明,ㄇㄧㄥˊ
414,己,ㄐㄧˇ
415,路,ㄌㄨˋ
416,起,ㄑㄧˇ
417,相,ㄒㄧㄤ
418,相,ㄒㄧㄤˋ
419,主,ㄓㄨˇ
420,關,ㄍㄨㄢ
421,鳳,ㄈㄥˋ
422,間,ㄐㄧㄢ
423,間,ㄐㄧㄢˋ
424,呢,ㄋㄜ˙
425,覺,ㄐㄩㄝˊ
426,覺,ㄐㄧㄠˋ
432,該,ㄍㄞ
433,十,ㄕˊ
442,外,ㄨㄞˋ
449,凰,ㄏㄨㄤˊ
465,友,ㄧㄡˇ
466,才,ㄘㄞˊ
468,民,ㄇㄧㄣˊ
469,系,ㄒㄧˋ
470,進,ㄐㄧㄣˋ
471,使,ㄕˇ
472,她,ㄊㄚ
473,著,ㄓㄨˋ
476,著,ㄓㄨㄛˊ
477,著,ㄓㄜ˙
479,著,ㄓㄠ
481,著,ㄓㄠˊ
483,各,ㄍㄜˋ
484,少,ㄕㄠˇ
485,少,ㄕㄠˋ
486,全,ㄑㄩㄢˊ
487,兩,ㄌㄧㄤˇ
488,回,ㄏㄨㄟˊ
489,加,ㄐㄧㄚ
490,將,ㄐㄧㄤ
491,將,ㄐㄧㄤˋ
493,感,ㄍㄢˇ
496,第,ㄉㄧˋ
497,性,ㄒㄧㄥˋ
503,球,ㄑㄧㄡˊ
504,式,ㄕˋ
505,把,ㄅㄚˇ
506,被,ㄅㄟˋ
510,被,ㄆㄧ
511,老,ㄌㄠˇ
512,公,ㄍㄨㄥ
513,龍,ㄌㄨㄥˊ
514,程,ㄔㄥˊ
515,論,ㄌㄨㄣˋ
516,論,ㄌㄨㄣˊ
517,及,ㄐㄧˊ
518,別,ㄅㄧㄝˊ
519,給,ㄍㄟˇ
520,給,ㄐㄧˇ
521,聽,ㄊㄧㄥ
522,水,ㄕㄨㄟˇ
523,重,ㄓㄨㄥˋ
524,重,ㄔㄨㄥˊ
525,體,ㄊㄧˇ
526,做,ㄗㄨㄛˋ
527,校,ㄐㄧㄠˋ
528,校,ㄒㄧㄠˋ
529,裡,ㄌㄧˇ
530,常,ㄔㄤˊ
531,東,ㄉㄨㄥ
532,風,ㄈㄥ
533,您,ㄋㄧㄣˊ
534,灣,ㄨㄢ
535,啦,ㄌㄚ
536,啦,ㄌㄚ˙
